tau,coverage,accepted_loss_mass,selective_risk,selective_acc,abstention_rate,risk
0.0,1.0,0.0833689272403717,0.0833689272403717,0.9229999780654907,0.0,0.0833689272403717
0.005,0.8763999938964844,0.02658672258257866,0.03033628687262535,0.9712460041046143,0.12360000610351562,0.03033628687262535
0.01,0.8705999851226807,0.02528606913983822,0.029044415801763535,0.9724327921867371,0.12940001487731934,0.029044415801763535
0.015,0.8659999966621399,0.024070026353001595,0.0277944877743721,0.9736720323562622,0.1340000033378601,0.0277944877743721
0.02,0.8636000156402588,0.02345775067806244,0.02716274932026863,0.9742936491966248,0.1363999843597412,0.02716274932026863
0.025,0.8622000217437744,0.023252423852682114,0.026968711987137794,0.9744839072227478,0.13779997825622559,0.026968711987137794
0.03,0.8600000143051147,0.022646620869636536,0.02633328177034855,0.9751162528991699,0.13999998569488525,0.02633328177034855
0.035,0.8586000204086304,0.022242527455091476,0.02590557560324669,0.9755415916442871,0.14139997959136963,0.02590557560324669
0.04,0.8569999933242798,0.022234942764043808,0.025945089757442474,0.9754959344863892,0.14300000667572021,0.025945089757442474
0.045,0.8550000190734863,0.02202719822525978,0.025762805715203285,0.9756725430488586,0.14499998092651367,0.025762805715203285
0.05,0.853600025177002,0.022021936252713203,0.025798894464969635,0.9756326079368591,0.14639997482299805,0.025798894464969635
0.055,0.852400004863739,0.02181834727525711,0.025596370920538902,0.9758329391479492,0.147599995136261,0.025596370920538902
0.06,0.8507999777793884,0.021807290613651276,0.025631511583924294,0.9757875204086304,0.14920002222061157,0.025631511583924294
0.065,0.849399983882904,0.02179894968867302,0.025663940235972404,0.9757475852966309,0.15060001611709595,0.025663940235972404
0.07,0.8482000231742859,0.021593164652585983,0.025457631796598434,0.9759490489959717,0.1517999768257141,0.025457631796598434
0.075,0.8478000164031982,0.021393325179815292,0.025233929976820946,0.9761736392974854,0.15219998359680176,0.025233929976820946
0.08,0.8471999764442444,0.021390454843640327,0.025248412042856216,0.9761567711830139,0.15280002355575562,0.025248412042856216
0.085,0.8465999960899353,0.021387437358498573,0.02526274137198925,0.9761398434638977,0.1534000039100647,0.02526274137198925
0.09,0.8453999757766724,0.02118408866226673,0.025058064609766006,0.9763425588607788,0.15460002422332764,0.025058064609766006
0.095,0.8446000218391418,0.020982131361961365,0.02484268508851528,0.9765569567680359,0.15539997816085815,0.02484268508851528
0.1,0.843999981880188,0.020780710503458977,0.024621695280075073,0.9767772555351257,0.156000018119812,0.024621695280075073
0.105,0.8434000015258789,0.020778190344572067,0.024636223912239075,0.976760745048523,0.1565999984741211,0.024636223912239075
0.11,0.8429999947547913,0.02057737298309803,0.024409694597125053,0.9769869446754456,0.15700000524520874,0.024409694597125053
0.115,0.8425999879837036,0.020575709640979767,0.024419309571385384,0.9769760370254517,0.1574000120162964,0.024419309571385384
0.12,0.8417999744415283,0.02037346176803112,0.0242022592574358,0.9771917462348938,0.15820002555847168,0.0242022592574358
0.125,0.8414000272750854,0.020372074097394943,0.02421211451292038,0.9771808981895447,0.15859997272491455,0.02421211451292038
0.13,0.8410000205039978,0.020370563492178917,0.024221835657954216,0.9771700501441956,0.1589999794960022,0.024221835657954216
0.135,0.840399980545044,0.020367396995425224,0.024235360324382782,0.9771537184715271,0.15960001945495605,0.024235360324382782
0.14,0.8399999737739563,0.020166443660855293,0.02400767244398594,0.9773809313774109,0.1600000262260437,0.02400767244398594
0.145,0.8398000001907349,0.020165562629699707,0.024012338370084763,0.9773755669593811,0.16019999980926514,0.024012338370084763
0.15,0.8393999934196472,0.020164189860224724,0.024022145196795464,0.9773647785186768,0.16060000658035278,0.024022145196795464
0.155,0.8393999934196472,0.020164189860224724,0.024022145196795464,0.9773647785186768,0.16060000658035278,0.024022145196795464
0.16,0.8393999934196472,0.020164189860224724,0.024022145196795464,0.9773647785186768,0.16060000658035278,0.024022145196795464
0.165,0.8392000198364258,0.020163478329777718,0.0240270234644413,0.977359414100647,0.16079998016357422,0.0240270234644413
0.17,0.8389999866485596,0.02016279846429825,0.02403193898499012,0.9773539900779724,0.16100001335144043,0.02403193898499012
0.17500000000000002,0.8389999866485596,0.02016279846429825,0.02403193898499012,0.9773539900779724,0.16100001335144043,0.02403193898499012
0.18,0.8385999798774719,0.020161006599664688,0.02404126711189747,0.9773432016372681,0.16140002012252808,0.02404126711189747
0.185,0.8384000062942505,0.020160499960184097,0.02404639683663845,0.9773377776145935,0.1615999937057495,0.02404639683663845
0.19,0.8379999995231628,0.020158953964710236,0.024056030437350273,0.9773269891738892,0.16200000047683716,0.024056030437350273
0.195,0.8375999927520752,0.02015761472284794,0.02406591922044754,0.97731614112854,0.1624000072479248,0.02406591922044754
0.2,0.8375999927520752,0.02015761472284794,0.02406591922044754,0.97731614112854,0.1624000072479248,0.02406591922044754
