method,alpha,violation_rate,num_violations,num_seeds,mean_accepted_loss_mass,std_accepted_loss_mass,mean_violation_gap,mean_coverage,std_coverage
CRC-Select,0.01,1.0,4,4,0.011790210613980823,0.001609735106183545,0.0017902106139808245,0.7901249974966049,0.017310323235640124
CRC-Select,0.02,0.5,2,4,0.02020240947604175,0.004149024276996151,0.0020415207929909,0.848474994301796,0.02044667123075134
CRC-Select,0.05,0.25,1,4,0.05001605581492183,0.0048940744938306855,0.0019399171695113002,0.9414499849081039,0.009694714278612647
CRC-Select,0.1,0.0,0,4,0.08345632255077357,0.004960279466680945,0.0,1.0,0.0
CRC-Select,0.15,0.0,0,4,0.08119766972959036,0.005406961970071012,0.0,1.0,0.0
CRC-Select,0.2,0.0,0,4,0.08246017433702943,0.005631775210858943,0.0,1.0,0.0
vanilla,0.01,0.5,2,4,0.009917266201227851,0.002033860492518254,0.0009297704137861498,0.7637999951839447,0.025171026766962798
vanilla,0.02,0.75,3,4,0.021162748336791923,0.0020287444434799965,0.0015262352675198994,0.8527999967336655,0.0014422242595796017
vanilla,0.05,0.75,3,4,0.05169225297868247,0.005485497681903396,0.003633506223559348,0.9430249929428101,0.004811628908871818
vanilla,0.1,0.0,0,4,0.08417304418981073,0.003692307161272579,0.0,1.0,0.0
vanilla,0.15,0.0,0,4,0.08342012763023371,0.0034512499994752296,0.0,1.0,0.0
vanilla,0.2,0.0,0,4,0.0837558656930923,0.0026504206589420963,0.0,1.0,0.0
posthoc_crc,0.01,0.5,2,4,0.009917266201227851,0.002033860492518254,0.0009297704137861498,0.7637999951839447,0.025171026766962798
posthoc_crc,0.02,0.75,3,4,0.021162748336791923,0.0020287444434799965,0.0015262352675198994,0.8527999967336655,0.0014422242595796017
posthoc_crc,0.05,0.75,3,4,0.05169225297868247,0.005485497681903396,0.003633506223559348,0.9430249929428101,0.004811628908871818
posthoc_crc,0.1,0.0,0,4,0.08417304418981073,0.003692307161272579,0.0,1.0,0.0
posthoc_crc,0.15,0.0,0,4,0.08342012763023371,0.0034512499994752296,0.0,1.0,0.0
posthoc_crc,0.2,0.0,0,4,0.0837558656930923,0.0026504206589420963,0.0,1.0,0.0
MSP,0.01,0.5,2,4,0.0108884687069803,0.003344539486841703,0.0018635889329016,0.7644750028848648,0.03539896459939384
MSP,0.02,0.5,2,4,0.020704659633338427,0.002085472607115897,0.0013090705126523753,0.8483750075101852,0.005306764635144366
MSP,0.05,0.75,3,4,0.051523224450647775,0.003243359380533857,0.002141157723963222,0.9444999992847443,0.006325345725784091
MSP,0.1,0.0,0,4,0.08414040133357042,0.003511003872609352,0.0,1.0,0.0
MSP,0.15,0.0,0,4,0.08414040133357042,0.003511003872609352,0.0,1.0,0.0
MSP,0.2,0.0,0,4,0.08414040133357042,0.003511003872609352,0.0,1.0,0.0
Energy,0.01,0.5,2,4,0.0104139934992417,0.0031608396688541773,0.0015194298513233253,0.7373250126838684,0.041228829628330764
Energy,0.02,0.5,2,4,0.020354190841317125,0.0020670156855589574,0.0010581698827445245,0.8476500064134598,0.006336205565682724
Energy,0.05,1.0,4,4,0.05324276350438589,0.002611403934861554,0.003242763504385895,0.9478999972343445,0.006827148290150201
Energy,0.1,0.0,0,4,0.08414040133357042,0.003511003872609352,0.0,1.0,0.0
Energy,0.15,0.0,0,4,0.08414040133357042,0.003511003872609352,0.0,1.0,0.0
Energy,0.2,0.0,0,4,0.08414040133357042,0.003511003872609352,0.0,1.0,0.0
TempScaled_MSP,0.01,0.5,2,4,0.010646349401213175,0.0034298268817666835,0.0017852498032152496,0.7548000067472458,0.043229391024799335
TempScaled_MSP,0.02,0.5,2,4,0.0206061177887022,0.0020523935265529415,0.0011614665947854248,0.8485499918460846,0.005655765919528788
TempScaled_MSP,0.05,0.75,3,4,0.051958742551505524,0.0028232122208129225,0.0022455822676419983,0.9464000016450882,0.006178997098262107
TempScaled_MSP,0.1,0.0,0,4,0.08414040133357042,0.003511003872609352,0.0,1.0,0.0
TempScaled_MSP,0.15,0.0,0,4,0.08414040133357042,0.003511003872609352,0.0,1.0,0.0
TempScaled_MSP,0.2,0.0,0,4,0.08414040133357042,0.003511003872609352,0.0,1.0,0.0
DeepGambler,0.01,0.0,0,4,0.0,0.0,0.0,0.0,0.0
DeepGambler,0.02,0.0,0,4,0.0,0.0,0.0,0.0,0.0
DeepGambler,0.05,0.0,0,4,0.0,0.0,0.0,0.0,0.0
DeepGambler,0.1,0.0,0,4,0.0,0.0,0.0,0.0,0.0
DeepGambler,0.15,0.0,0,4,0.0,0.0,0.0,0.0,0.0
DeepGambler,0.2,0.0,0,4,0.0,0.0,0.0,0.0,0.0
