threshold,coverage,risk,error,accuracy
0.0,1.0,0.07747110724449158,0.07279998064041138,0.9272000193595886
0.005,0.8827999830245972,0.02951524779200554,0.02809244394302368,0.9719075560569763
0.01,0.8748000264167786,0.026772312819957733,0.025377213954925537,0.9746227860450745
0.015,0.8704000115394592,0.025968171656131744,0.024586379528045654,0.9754136204719543
0.02,0.8672000169754028,0.025583742186427116,0.024215877056121826,0.9757841229438782
0.025,0.8644000291824341,0.024828564375638962,0.02336883544921875,0.9766311645507812
0.03,0.8629999756813049,0.024404404684901237,0.022943198680877686,0.9770568013191223
0.035,0.8615999817848206,0.023974323645234108,0.022516250610351562,0.9774837493896484
0.04,0.8601999878883362,0.024004898965358734,0.022552907466888428,0.9774470925331116
0.045,0.859000027179718,0.02403091825544834,0.022584378719329834,0.9774156212806702
0.05,0.8582000136375427,0.024047818034887314,0.022605478763580322,0.9773945212364197
0.055,0.8569999933242798,0.023609938099980354,0.02217036485671997,0.97782963514328
0.06,0.8561999797821045,0.023396028205752373,0.021957457065582275,0.9780425429344177
0.065,0.8547999858856201,0.023194503039121628,0.021759450435638428,0.9782405495643616
0.07,0.8529999852180481,0.023232802748680115,0.021805405616760254,0.9781945943832397
0.075,0.8525999784469604,0.02300875261425972,0.021581053733825684,0.9784189462661743
0.08,0.8518000245094299,0.022792404517531395,0.021366536617279053,0.978633463382721
0.085,0.8511999845504761,0.02280547097325325,0.02138155698776245,0.9786184430122375
0.09,0.8507999777793884,0.0228140689432621,0.021391630172729492,0.9786083698272705
0.095,0.8500000238418579,0.022597990930080414,0.021176457405090332,0.9788235425949097
0.1,0.8496000170707703,0.022606706246733665,0.021186411380767822,0.9788135886192322
0.105,0.849399983882904,0.022611238062381744,0.021191418170928955,0.978808581829071
0.11,0.8483999967575073,0.02192881889641285,0.020509183406829834,0.9794908165931702
0.115,0.8478000164031982,0.021706780418753624,0.020287811756134033,0.979712188243866
0.12,0.8471999764442444,0.021249553188681602,0.019830048084259033,0.980169951915741
0.125,0.8468000292778015,0.021022889763116837,0.019603192806243896,0.9803968071937561
0.13,0.8465999960899353,0.021027151495218277,0.019607841968536377,0.9803921580314636
0.135,0.8464000225067139,0.02103135548532009,0.019612491130828857,0.9803875088691711
0.14,0.8460000157356262,0.020803911611437798,0.019385337829589844,0.9806146621704102
0.145,0.8453999757766724,0.02034521847963333,0.018925964832305908,0.9810740351676941
0.15,0.8446000218391418,0.02012549713253975,0.018707096576690674,0.9812929034233093
0.155,0.843999981880188,0.020136749371886253,0.018720388412475586,0.9812796115875244
0.16,0.843999981880188,0.020136749371886253,0.018720388412475586,0.9812796115875244
0.165,0.8438000082969666,0.02014070376753807,0.018724799156188965,0.981275200843811
0.17,0.8435999751091003,0.020145053043961525,0.01872926950454712,0.9812707304954529
0.17500000000000002,0.8432000279426575,0.02015291340649128,0.018738150596618652,0.9812618494033813
0.18,0.8424000144004822,0.019695544615387917,0.018281102180480957,0.981718897819519
0.185,0.8417999744415283,0.01970674842596054,0.018294155597686768,0.9817058444023132
0.19,0.8411999940872192,0.01971852220594883,0.018307209014892578,0.9816927909851074
0.195,0.8406000137329102,0.01949341595172882,0.01808232069015503,0.981917679309845
0.2,0.8399999737739563,0.01950553059577942,0.01809525489807129,0.9819047451019287
0.20500000000000002,0.8399999737739563,0.01950553059577942,0.01809525489807129,0.9819047451019287
0.21,0.8396000266075134,0.019513169303536415,0.018103837966918945,0.981896162033081
0.215,0.8392000198364258,0.01952078379690647,0.018112480640411377,0.9818875193595886
